id,category,complexity,characteristics,status,task_count,tasks_success,tasks_failed,verdicts_pass,verdicts_fail,elapsed_compile_s,elapsed_execute_s,elapsed_critic_s,elapsed_total_s,api_calls,tokens,error
P01,Email & Communication Automation,Simple,Linear,success,4,4,0,0,4,38.6,103.2,7.8,149.5,14,8856,
P02,Email & Communication Automation,Medium,Conditional Branching,success,1,0,1,0,1,4.8,15.4,0.0,20.2,3,1467,
P03,Email & Communication Automation,Medium,Parallel,success,2,1,1,1,1,1.5,23.2,6.7,31.4,6,2766,
P04,Email & Communication Automation,Complex,Conditional + Loop,success,2,1,1,0,2,26.5,20.5,6.2,53.2,7,4480,
P05,Email & Communication Automation,Simple,Linear,success,1,0,1,0,1,4.1,9.0,0.0,13.1,2,765,
P06,Data Processing & Analysis,Simple,Linear,success,3,3,0,2,1,9.2,85.9,7.2,102.4,16,10483,
P07,Data Processing & Analysis,Medium,Parallel Branches,success,1,0,1,0,1,5.3,6.5,0.0,11.8,2,917,
P08,Data Processing & Analysis,Complex,Conditional + Loop,success,1,0,1,0,1,10.7,0.0,0.0,10.7,1,975,
P09,Data Processing & Analysis,Medium,Linear,success,4,3,1,2,2,7.2,94.0,12.3,113.4,16,10240,
P10,Data Processing & Analysis,Simple,Linear,success,4,4,0,4,0,5.2,119.0,10.4,134.5,19,13656,
P11,Content Generation & Social Media,Simple,Linear,success,2,1,1,1,1,5.2,11.1,5.4,21.7,4,1482,
P12,Content Generation & Social Media,Medium,Parallel,success,2,1,1,1,1,4.4,22.9,3.4,30.8,5,3276,
P13,Content Generation & Social Media,Complex,Loop + Conditional,success,5,4,1,2,3,15.3,190.5,17.2,223.1,22,21949,
P14,Content Generation & Social Media,Medium,Linear,success,4,1,3,0,4,4.5,54.2,5.5,64.2,9,4649,
P15,Content Generation & Social Media,Simple,Linear,success,3,2,1,2,1,3.4,72.0,5.7,81.1,11,8344,
P16,File Management & Document Processing,Simple,Linear,success,1,0,1,0,1,3.2,8.5,0.0,11.7,2,963,
P17,File Management & Document Processing,Medium,Conditional,success,6,4,2,3,3,8.7,51.0,9.6,69.4,11,5740,
P18,File Management & Document Processing,Complex,Parallel + Conditional,success,2,1,1,0,2,5.2,58.7,9.6,73.5,6,6061,
P19,File Management & Document Processing,Medium,Loop,success,4,4,0,0,4,4.8,120.7,8.3,133.9,19,13666,
P20,File Management & Document Processing,Simple,Linear,success,2,1,1,1,1,13.8,25.8,6.9,46.5,7,3363,
P21,API Integration & Multi-Service Workflows,Medium,Linear,success,3,2,1,1,2,13.3,80.5,12.1,106.0,10,9694,
P22,API Integration & Multi-Service Workflows,Complex,Parallel + Conditional + Loop,success,2,0,2,0,2,6.0,8.6,0.0,14.6,3,1132,
P23,API Integration & Multi-Service Workflows,Medium,Conditional,success,2,1,1,1,1,8.4,15.1,5.4,28.9,4,1555,
P24,API Integration & Multi-Service Workflows,Complex,Parallel + Loop,success,5,4,1,4,1,6.4,113.0,11.4,130.9,14,13227,
P25,API Integration & Multi-Service Workflows,Medium,Linear,success,1,0,1,0,1,5.9,7.6,0.0,13.5,2,1038,
