id,category,complexity,characteristics,status,task_count,tasks_success,tasks_failed,verdicts_pass,verdicts_fail,elapsed_compile_s,elapsed_execute_s,elapsed_critic_s,elapsed_total_s,api_calls,tokens,error
P01,Web Research & Summarization,Simple,Linear,success,4,4,0,4,0,1.5,171.0,11.7,184.2,15,10446,
P02,Web Research & Summarization,Simple,Linear,success,4,4,0,4,0,1.4,130.0,13.4,144.8,18,13368,
P03,Web Research & Summarization,Medium,Linear,success,3,3,0,3,0,1.1,45.5,8.3,54.9,10,5746,
P04,Web Research & Summarization,Medium,Parallel,failure,0,0,0,0,0,0.5,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P05,Data Processing & Computation,Simple,Linear,failure,0,0,0,0,0,0.3,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P06,Data Processing & Computation,Simple,Linear,failure,0,0,0,0,0,0.3,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P07,Data Processing & Computation,Medium,Linear,failure,0,0,0,0,0,0.2,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P08,Data Processing & Computation,Medium,Linear,failure,0,0,0,0,0,0.2,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P09,API Interaction & HTTP,Simple,Linear,failure,0,0,0,0,0,0.3,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P10,API Interaction & HTTP,Medium,Linear,failure,0,0,0,0,0,0.7,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P11,API Interaction & HTTP,Medium,Parallel,failure,0,0,0,0,0,0.3,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P12,API Interaction & HTTP,Medium,Linear,failure,0,0,0,0,0,0.3,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P13,File Operations & Text Processing,Simple,Linear,failure,0,0,0,0,0,0.3,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P14,File Operations & Text Processing,Medium,Linear,failure,0,0,0,0,0,0.3,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P15,File Operations & Text Processing,Medium,Linear,failure,0,0,0,0,0,0.4,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P16,Multi-Step Research & Analysis,Medium,Linear,failure,0,0,0,0,0,0.4,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P17,Multi-Step Research & Analysis,Complex,Parallel + Linear,failure,0,0,0,0,0,0.6,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P18,Multi-Step Research & Analysis,Complex,Linear,failure,0,0,0,0,0,1.3,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P19,Automation Simulation,Simple,Linear,failure,0,0,0,0,0,0.2,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P20,Automation Simulation,Medium,Linear,failure,0,0,0,0,0,0.2,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
P21,Automation Simulation,Complex,Linear,failure,0,0,0,0,0,0.2,0.0,0.0,0.0,0,0,compile: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile`
