id,category,complexity,characteristics,status,task_count,tasks_success,tasks_failed,verdicts_pass,verdicts_fail,elapsed_compile_s,elapsed_execute_s,elapsed_critic_s,elapsed_total_s,api_calls,tokens,error
P01,Web Research & Summarization,Simple,Linear,success,2,1,1,1,1,4.7,81.2,0.4,86.3,5,2126,
P02,Web Research & Summarization,Simple,Linear,success,2,1,1,0,2,1.3,31.0,0.3,32.6,7,4621,
P03,Web Research & Summarization,Medium,Linear,success,2,1,1,1,1,1.2,6.4,0.5,8.1,5,2709,
P04,Web Research & Summarization,Medium,Parallel,success,2,1,1,1,1,1.1,41.0,7.6,49.6,5,5234,
P05,Data Processing & Computation,Simple,Linear,success,2,1,1,1,1,1.4,180.4,0.4,182.2,16,19932,
P06,Data Processing & Computation,Simple,Linear,success,2,1,1,1,1,1.1,186.3,2.3,189.6,14,20350,
P07,Data Processing & Computation,Medium,Linear,success,1,0,1,0,1,1.7,0.7,0.0,2.4,2,829,
P08,Data Processing & Computation,Medium,Linear,success,4,3,1,2,2,1.3,119.0,8.4,128.7,17,13405,
P09,API Interaction & HTTP,Simple,Linear,success,1,0,1,0,1,1.2,5.8,0.0,7.0,3,1245,
P10,API Interaction & HTTP,Medium,Linear,success,3,3,0,3,0,1.1,97.1,0.8,99.0,12,11173,
P11,API Interaction & HTTP,Medium,Parallel,success,3,3,0,3,0,1.4,60.2,8.3,69.9,10,8344,
P12,API Interaction & HTTP,Medium,Linear,success,4,4,0,3,1,1.5,115.5,8.6,125.6,18,14341,
P13,File Operations & Text Processing,Simple,Linear,success,3,2,1,1,2,1.2,256.1,2.2,259.5,23,27366,
P14,File Operations & Text Processing,Medium,Linear,success,1,0,1,0,1,1.3,0.6,0.0,1.9,2,751,
P15,File Operations & Text Processing,Medium,Linear,success,4,4,0,3,1,1.3,32.0,15.8,49.1,9,6191,
P16,Multi-Step Research & Analysis,Medium,Linear,success,4,3,1,3,1,1.4,43.6,9.5,54.5,10,6899,
P17,Multi-Step Research & Analysis,Complex,Parallel + Linear,success,3,3,0,3,0,1.0,29.8,7.1,37.8,8,5089,
P18,Multi-Step Research & Analysis,Complex,Linear,success,3,2,1,1,2,1.2,13.8,11.4,26.4,6,2396,
P19,Automation Simulation,Simple,Linear,success,2,1,1,1,1,1.2,5.4,0.3,7.0,5,2066,
P20,Automation Simulation,Medium,Linear,success,3,3,0,3,0,1.1,37.6,21.9,60.6,11,6089,
P21,Automation Simulation,Complex,Linear,success,2,1,1,1,1,1.0,4.2,0.2,5.4,5,2260,
