id,category,complexity,characteristics,status,task_count,tasks_success,tasks_failed,verdicts_pass,verdicts_fail,elapsed_compile_s,elapsed_execute_s,elapsed_critic_s,elapsed_total_s,api_calls,tokens,error
P01,Web Research & Summarization,Simple,Linear,success,3,3,0,2,1,39.0,140.8,11.2,191.0,11,7482,
P02,Web Research & Summarization,Simple,Linear,success,3,3,0,1,2,36.3,119.1,4.2,159.6,13,13136,
P03,Web Research & Summarization,Medium,Linear,success,3,3,0,1,2,57.8,32.7,28.0,118.5,11,7363,
P04,Web Research & Summarization,Medium,Parallel,success,4,4,0,3,1,48.2,107.0,10.2,165.5,14,17187,
P05,Data Processing & Computation,Simple,Linear,success,2,1,1,1,1,36.1,3.3,0.3,39.8,5,2742,
P06,Data Processing & Computation,Simple,Linear,success,4,4,0,4,0,43.3,9.1,53.8,106.1,14,7082,
P07,Data Processing & Computation,Medium,Linear,success,3,3,0,3,0,41.0,7.3,2.7,51.0,9,6302,
P08,Data Processing & Computation,Medium,Linear,success,3,3,0,3,0,48.8,87.2,13.0,149.0,11,14910,
P09,API Interaction & HTTP,Simple,Linear,success,2,1,1,1,1,32.1,39.4,4.1,75.6,8,4252,
P10,API Interaction & HTTP,Medium,Linear,success,3,3,0,3,0,42.4,70.5,4.6,117.5,10,9663,
P11,API Interaction & HTTP,Medium,Parallel,success,3,2,1,2,1,55.8,17.3,1.8,74.9,8,6074,
P12,API Interaction & HTTP,Medium,Linear,success,1,0,1,0,1,45.2,42.8,0.0,88.0,3,1835,
P13,File Operations & Text Processing,Simple,Linear,success,3,2,1,2,1,51.7,10.2,4.4,66.2,9,6270,
P14,File Operations & Text Processing,Medium,Linear,success,1,0,1,0,1,55.4,5.0,0.0,60.4,2,701,
P15,File Operations & Text Processing,Medium,Linear,success,3,2,1,2,1,53.8,14.2,2.9,70.9,9,4411,
P16,Multi-Step Research & Analysis,Medium,Linear,success,3,2,1,2,1,56.8,250.0,0.7,307.6,17,29164,
P17,Multi-Step Research & Analysis,Complex,Parallel + Linear,success,3,3,0,3,0,42.5,77.4,2.7,122.5,11,11173,
P18,Multi-Step Research & Analysis,Complex,Linear,success,3,2,1,1,2,71.2,85.0,2.6,158.7,12,12167,
P19,Automation Simulation,Simple,Linear,success,4,4,0,3,1,48.6,42.4,41.4,132.4,14,8128,
P20,Automation Simulation,Medium,Linear,success,3,3,0,3,0,49.6,13.5,4.3,67.4,10,6598,
P21,Automation Simulation,Complex,Linear,success,3,3,0,3,0,86.4,33.6,3.2,123.2,9,4679,
