id,category,complexity,characteristics,status,task_count,tasks_success,tasks_failed,verdicts_pass,verdicts_fail,elapsed_compile_s,elapsed_execute_s,elapsed_critic_s,elapsed_total_s,api_calls,tokens,error
P01,Web Research & Summarization,Simple,Linear,success,2,1,1,0,2,52.0,107.1,0.7,159.8,6,4551,
P02,Web Research & Summarization,Simple,Linear,success,2,1,1,1,1,34.0,68.9,0.4,103.2,6,5122,
P03,Web Research & Summarization,Medium,Linear,success,3,3,0,3,0,36.2,25.8,37.5,99.5,11,7086,
P04,Web Research & Summarization,Medium,Parallel,success,4,4,0,4,0,31.8,40.6,21.8,94.2,12,10990,
P05,Data Processing & Computation,Simple,Linear,success,2,1,1,0,2,58.9,4.4,2.5,65.8,5,3335,
P06,Data Processing & Computation,Simple,Linear,success,3,3,0,2,1,37.0,5.8,2.3,45.2,10,5188,
P07,Data Processing & Computation,Medium,Linear,success,3,2,1,2,1,36.5,16.2,2.3,55.0,10,4585,
P08,Data Processing & Computation,Medium,Linear,success,2,1,1,1,1,41.9,45.8,10.9,98.7,6,7961,
P09,API Interaction & HTTP,Simple,Linear,success,2,1,1,1,1,35.2,131.9,5.5,172.7,7,11108,
P10,API Interaction & HTTP,Medium,Linear,success,2,1,1,1,1,66.0,10.2,0.3,76.6,6,3668,
P11,API Interaction & HTTP,Medium,Parallel,success,3,2,1,2,1,38.6,78.3,1.6,118.5,11,11754,
P12,API Interaction & HTTP,Medium,Linear,success,3,2,1,1,2,53.6,129.1,1.0,183.7,15,10973,
P13,File Operations & Text Processing,Simple,Linear,success,1,0,1,0,1,35.4,2.8,0.0,38.3,2,957,
P14,File Operations & Text Processing,Medium,Linear,success,1,0,1,0,1,57.9,2.1,0.0,60.0,2,748,
P15,File Operations & Text Processing,Medium,Linear,success,1,0,1,0,1,50.4,0.7,0.0,51.1,2,320,
P16,Multi-Step Research & Analysis,Medium,Linear,success,3,2,1,2,1,64.3,88.7,6.2,159.2,9,6707,
P17,Multi-Step Research & Analysis,Complex,Parallel + Linear,success,2,1,1,1,1,32.9,20.8,1.3,55.0,5,5018,
P18,Multi-Step Research & Analysis,Complex,Linear,success,2,1,1,1,1,47.7,5.0,9.6,62.3,5,2573,
P19,Automation Simulation,Simple,Linear,success,4,3,1,2,2,44.0,88.2,8.2,140.5,14,14163,
P20,Automation Simulation,Medium,Linear,success,3,3,0,3,0,62.7,10.2,1.3,74.2,9,6009,
P21,Automation Simulation,Complex,Linear,success,3,3,0,3,0,46.2,144.1,3.8,194.1,16,20264,
